title,building_physics_score,materials_score,failure_score,climate_score,decision,reason
Innate Predator Odor Aversion Driven by Parallel Olfactory Subsystems that Converge in the Ventromedial Hypothalamus,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
NEURON17228_grabs 1..1,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Neuroanatomy: Connectome Connects Fly and Mammalian Brain Networks,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Neuron Migration: Anillin Protects Leading Edge Actin,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Optogenetic control of organelle transport using a photocaged chemical inducer of dimerization,0,0,2,0,skip,"skip; building_physics=0, materials=0, failure=2, climate=0, total=2, biomedical=1"
Oscillatory Flow Modulates Mechanosensitive klf2a Expression through trpv4 and trpp2 during Heart Valve Development,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Photoperiod Programs Dorsal Raphe Serotonergic Neurons and Affective Behaviors,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Plant Grafting: Making the Right Connections,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Plant Sex Chromosomes: Lost Genes with Little Compensation,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Root Cap-Derived Auxin Pre-patterns the Longitudinal Axis of the Arabidopsis Root,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Sleep Restores Behavioral Plasticity to Drosophila Mutants,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Spectral filtering enables trichromatic vision in colorful jumping spiders,1,0,0,0,review,"lens scores warrant review; building_physics=1, materials=0, failure=0, climate=0, total=1"
Temporal Dynamics of Avian Populations during Pleistocene Revealed by Whole-Genome Sequences,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
The how and why of sleep: Motor theory and catecholamine hypothesis,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
The Importance and Benefits of Species,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Traffic of p24 Proteins and COPII Coat Composition Mutually Influence Membrane Scaffolding,0,2,0,0,skip,"skip; building_physics=0, materials=2, failure=0, climate=0, total=2, biomedical=1"
Transcriptional Coordination of Synaptogenesis and Neurotransmitter Signaling,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Tumor Metabolism: MAGE-A Proteins Help TRIM Turn&nbsp;Over AMPK,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=1"
Wild Bearded Capuchin Monkeys Crack Nuts Dexterously,0,0,2,0,skip,"skip; building_physics=0, materials=0, failure=2, climate=0, total=2, biomedical=0"
(anonymous),0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=2"
A Role for Matrix Metalloproteinases in Regulating Mammary Stem Cell Function via the Wnt Signaling Pathway,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=2"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
And Then There Were None: No Need for Pluripotency Factors to Induce Reprogramming,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=2"
Architectural Niche Organization by LHX2 Is Linked to Hair Follicle Stem Cell Function,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=2"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
(anonymous),0,0,0,4,skip,"skip; building_physics=0, materials=0, failure=0, climate=4, total=4, biomedical=5"
Breaking the Canon: Indirect Regulation of Wnt Signaling in Mammary Stem Cells by MMP3,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=3"
Broadening the Indications for Hematopoietic Stem Cell Genetic Therapies,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=3"
(anonymous),0,0,0,7,review,"lens scores warrant review; building_physics=0, materials=0, failure=0, climate=7, total=7"
(anonymous),0,0,0,7,review,"lens scores warrant review; building_physics=0, materials=0, failure=0, climate=7, total=7"
(anonymous),0,0,0,7,review,"lens scores warrant review; building_physics=0, materials=0, failure=0, climate=7, total=7"
(anonymous),0,0,0,10,review,"lens scores warrant review; building_physics=0, materials=0, failure=0, climate=10, total=10"
(anonymous),0,0,0,7,review,"lens scores warrant review; building_physics=0, materials=0, failure=0, climate=7, total=7"
(anonymous),0,0,0,7,review,"lens scores warrant review; building_physics=0, materials=0, failure=0, climate=7, total=7"
Chemical Approaches to Stem Cell Biology and Therapeutics,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=2"
DNA Demethylation in Pluripotency and Reprogramming: The Role of Tet Proteins and Cell Division,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=3"
FGF Signaling Inhibition in ESCs Drives Rapid Genome-wide Demethylation to the Epigenetic Ground State of Pluripotency,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=4"
In This Issue,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=2"
Myeloproliferative Neoplasia Remodels the Endosteal Bone Marrow Niche into a Self-Reinforcing Leukemic Niche,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=2"
Reprogramming Fibroblasts into Bipotential Hepatic Stem Cells by Defined Factors,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=2"
Reprogramming of Human Fibroblasts to Pluripotency with Lineage Specifiers,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=4"
Sinister Symbiosis: Pathological Hematopoietic-Stromal Interactions in CML,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=2"
Whole-Genome Bisulfite Sequencing of Two Distinct Interconvertible DNA Methylomes of Mouse Embryonic Stem Cells,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=5"
